DayOfWeekTrend,DayOfYearHeirarchicalVariance,DayOfYearNormalVariance,DayOfYearTrend,HolidayTrend,LongTermTrend,Regression,SeasonalTrend,elpd,DayOfWeekWeights
no,no,no,yes,no,no,glm,no,4578.51,
no,no,no,yes,no,no,glm,yes,2387.24057250632,
no,no,no,yes,no,yes,glm,no,7125.9942028813,
no,no,no,yes,no,yes,glm,yes,,
no,no,no,yes,yes,no,glm,no,,
no,no,no,yes,yes,no,glm,yes,2920.39632324059,
no,no,no,yes,yes,yes,glm,no,,
no,no,no,yes,yes,yes,glm,yes,5311.27329352511,
no,no,yes,yes,no,no,glm,no,5442.89912071062,
no,no,yes,yes,no,no,glm,yes,4399.63544787709,
no,no,yes,yes,no,yes,glm,no,,
no,no,yes,yes,no,yes,glm,yes,,
no,no,yes,yes,yes,no,glm,no,,
no,no,yes,yes,yes,no,glm,yes,5604.70609557286,
no,no,yes,yes,yes,yes,glm,no,7197.64047500906,
no,no,yes,yes,yes,yes,glm,yes,7162.06930181051,
no,yes,no,yes,no,no,glm,no,,
no,yes,no,yes,no,no,glm,yes,,
no,yes,no,yes,no,yes,glm,no,7179.98,
no,yes,no,yes,no,yes,glm,yes,7379.32679859518,
no,yes,no,yes,yes,no,glm,no,5455.05228337242,
no,yes,no,yes,yes,no,glm,yes,5674.10498513126,
no,yes,no,yes,yes,yes,glm,no,7228.88,
no,yes,no,yes,yes,yes,glm,yes,,
no,yes,yes,yes,no,no,glm,no,5232.3273276717,
no,yes,yes,yes,no,no,glm,yes,4406.46562859129,
no,yes,yes,yes,no,yes,glm,no,6703.35639574843,
no,yes,yes,yes,no,yes,glm,yes,6859.312500912,
no,yes,yes,yes,yes,no,glm,no,5257.83852126472,
no,yes,yes,yes,yes,no,glm,yes,,
no,yes,yes,yes,yes,yes,glm,no,5882.44,
no,yes,yes,yes,yes,yes,glm,yes,5888.01,
no,,,no,no,no,glm,no,5232.03,
no,,,no,no,no,glm,yes,5585.64,
no,,,no,no,yes,glm,no,6717.52,
no,,,no,no,yes,glm,yes,7249.78141003667,
no,,,no,yes,no,glm,no,5258.05,
no,,,no,yes,no,glm,yes,5522.14783298078,
no,,,no,yes,yes,glm,no,6760.55418752675,
no,,,no,yes,yes,glm,yes,7283.7324312413,
yes,no,no,yes,no,no,glm,no,6540.03,uniform
yes,no,no,yes,no,no,glm,yes,3344.3654692436,uniform
yes,no,no,yes,no,yes,glm,no,13949.47,uniform
yes,no,no,yes,no,yes,glm,yes,13950.2470267613,uniform
yes,no,no,yes,yes,no,glm,no,7489.57698442313,uniform
yes,no,no,yes,yes,no,glm,yes,4003.44946683213,uniform
yes,no,no,yes,yes,yes,glm,no,,uniform
yes,no,no,yes,yes,yes,glm,yes,,uniform
yes,no,yes,yes,no,no,glm,no,7457.22,uniform
yes,no,yes,yes,no,no,glm,yes,,uniform
yes,no,yes,yes,no,yes,glm,no,13956.11,uniform
yes,no,yes,yes,no,yes,glm,yes,,uniform
yes,no,yes,yes,yes,no,glm,no,7250.42854438999,uniform
yes,no,yes,yes,yes,no,glm,yes,7323.31146498067,uniform
yes,no,yes,yes,yes,yes,glm,no,8838.90163837759,uniform
yes,no,yes,yes,yes,yes,glm,yes,,uniform
yes,yes,no,yes,no,no,glm,no,7812.98,uniform
yes,yes,no,yes,no,no,glm,yes,7588.18829799233,uniform
yes,yes,no,yes,no,yes,glm,no,13979.34,uniform
yes,yes,no,yes,no,yes,glm,yes,14076.06,uniform
yes,yes,no,yes,yes,no,glm,no,,uniform
yes,yes,no,yes,yes,no,glm,yes,7337.73019675242,uniform
yes,yes,no,yes,yes,yes,glm,no,14526.21,uniform
yes,yes,no,yes,yes,yes,glm,yes,9900.42594930185,uniform
yes,yes,yes,yes,no,no,glm,no,6935.09,uniform
yes,yes,yes,yes,no,no,glm,yes,7187.80978134713,uniform
yes,yes,yes,yes,no,yes,glm,no,13959.7,uniform
yes,yes,yes,yes,no,yes,glm,yes,14029.7491348079,uniform
yes,yes,yes,yes,yes,no,glm,no,6851.6486517034,uniform
yes,yes,yes,yes,yes,no,glm,yes,7360.56737317448,uniform
yes,yes,yes,yes,yes,yes,glm,no,12213.75,uniform
yes,yes,yes,yes,yes,yes,glm,yes,14608.01,uniform
yes,,,no,no,no,glm,no,6910.55,uniform
yes,,,no,no,no,glm,yes,7522.39,uniform
yes,,,no,no,yes,glm,no,10947.29,uniform
yes,,,no,no,yes,glm,yes,13127.09,uniform
yes,,,no,yes,no,glm,no,6818.07,uniform
yes,,,no,yes,no,glm,yes,7332.93411844658,uniform
yes,,,no,yes,yes,glm,no,11204.72,uniform
yes,,,no,yes,yes,glm,yes,13576.7239549785,uniform
yes,no,no,yes,no,no,glm,no,2975.31032486582,weighted
yes,no,no,yes,no,no,glm,yes,,weighted
yes,no,no,yes,no,yes,glm,no,14599.08,weighted
yes,no,no,yes,no,yes,glm,yes,14603.4590747121,weighted
yes,no,no,yes,yes,no,glm,no,2464.57690507132,weighted
yes,no,no,yes,yes,no,glm,yes,3250.81680876078,weighted
yes,no,no,yes,yes,yes,glm,no,14755.47,weighted
yes,no,no,yes,yes,yes,glm,yes,,weighted
yes,no,yes,yes,no,no,glm,no,,weighted
yes,no,yes,yes,no,no,glm,yes,2590.62592762889,weighted
yes,no,yes,yes,no,yes,glm,no,9675.48221267936,weighted
yes,no,yes,yes,no,yes,glm,yes,8293.60265791466,weighted
yes,no,yes,yes,yes,no,glm,no,1391.68730130601,weighted
yes,no,yes,yes,yes,no,glm,yes,1581.56156941945,weighted
yes,no,yes,yes,yes,yes,glm,no,14929.74,weighted
yes,no,yes,yes,yes,yes,glm,yes,15301.54,weighted
yes,yes,no,yes,no,no,glm,no,4232.97,weighted
yes,yes,no,yes,no,no,glm,yes,,weighted
yes,yes,no,yes,no,yes,glm,no,14620.97,weighted
yes,yes,no,yes,no,yes,glm,yes,8271.31,weighted
yes,yes,no,yes,yes,no,glm,no,3283.42,weighted
yes,yes,no,yes,yes,no,glm,yes,1391.03697537675,weighted
yes,yes,no,yes,yes,yes,glm,no,15299.22,weighted
yes,yes,no,yes,yes,yes,glm,yes,15071.18,weighted
yes,yes,yes,yes,no,no,glm,no,3345.78672775113,weighted
yes,yes,yes,yes,no,no,glm,yes,3139.79714994284,weighted
yes,yes,yes,yes,no,yes,glm,no,14598.53,weighted
yes,yes,yes,yes,no,yes,glm,yes,11698.06,weighted
yes,yes,yes,yes,yes,no,glm,no,1606.94,weighted
yes,yes,yes,yes,yes,no,glm,yes,2161.1,weighted
yes,yes,yes,yes,yes,yes,glm,no,15313.68,weighted
yes,yes,yes,yes,yes,yes,glm,yes,15384.86,weighted
yes,,,no,no,no,glm,no,2534.39,weighted
yes,,,no,no,no,glm,yes,,weighted
yes,,,no,no,yes,glm,no,9539.07,weighted
yes,,,no,no,yes,glm,yes,13585.3897712745,weighted
yes,,,no,yes,no,glm,no,2900.40294535745,weighted
yes,,,no,yes,no,glm,yes,1438.26047055841,weighted
yes,,,no,yes,yes,glm,no,11466.83,weighted
yes,,,no,yes,yes,glm,yes,14109.15,weighted
