Likelihood,OffsetType,PhiPrior,Regression,Roach,Senior,Treatment,elpd,RandomEffects
NegBinomial,identity,cauchy,glm,identity,no,no,-3.31010792100001e+31,
NegBinomial,identity,cauchy,glm,identity,no,yes,-7.16927294e+30,
NegBinomial,identity,cauchy,glm,identity,yes,no,-2.43405178e+30,
NegBinomial,identity,cauchy,glm,identity,yes,yes,-1.68181454e+30,
NegBinomial,identity,cauchy,glm,no,no,no,-340655.530325107,
NegBinomial,identity,cauchy,glm,no,no,yes,-341838.654549512,
NegBinomial,identity,cauchy,glm,no,yes,no,-350645.829702514,
NegBinomial,identity,cauchy,glm,no,yes,yes,-349907.987100588,
NegBinomial,identity,cauchy,glm,sqrt,no,no,-9.13841323e+29,
NegBinomial,identity,cauchy,glm,sqrt,no,yes,-388842.073623669,
NegBinomial,identity,cauchy,glm,sqrt,yes,no,-367462.837335601,
NegBinomial,identity,cauchy,glm,sqrt,yes,yes,-401002.792038126,
NegBinomial,identity,normal,glm,identity,no,no,-1.37192827e+31,
NegBinomial,identity,normal,glm,identity,no,yes,-3.113420653e+30,
NegBinomial,identity,normal,glm,identity,yes,no,-1.030154914e+29,
NegBinomial,identity,normal,glm,identity,yes,yes,-9.79779348e+29,
NegBinomial,identity,normal,glm,no,no,no,-340486.548462806,
NegBinomial,identity,normal,glm,no,no,yes,-343714.050764389,
NegBinomial,identity,normal,glm,no,yes,no,-351177.220844878,
NegBinomial,identity,normal,glm,no,yes,yes,-349933.937096783,
NegBinomial,identity,normal,glm,sqrt,no,no,-2.12691371e+30,
NegBinomial,identity,normal,glm,sqrt,no,yes,-391174.375445099,
NegBinomial,identity,normal,glm,sqrt,yes,no,-368469.35067934,
NegBinomial,identity,normal,glm,sqrt,yes,yes,-397507.916638694,
NegBinomial,log,cauchy,glm,identity,no,no,-1.989662341e+30,
NegBinomial,log,cauchy,glm,identity,no,yes,-1.036372456e+31,
NegBinomial,log,cauchy,glm,identity,yes,no,-2.010450599e+30,
NegBinomial,log,cauchy,glm,identity,yes,yes,-1.316857915e+30,
NegBinomial,log,cauchy,glm,no,no,no,-380448.39559676,
NegBinomial,log,cauchy,glm,no,no,yes,-349323.948504472,
NegBinomial,log,cauchy,glm,no,yes,no,-362629.516623754,
NegBinomial,log,cauchy,glm,no,yes,yes,-346290.65076816,
NegBinomial,log,cauchy,glm,sqrt,no,no,-2.011964369e+30,
NegBinomial,log,cauchy,glm,sqrt,no,yes,-4.24865429e+27,
NegBinomial,log,cauchy,glm,sqrt,yes,no,-6.8444834e+30,
NegBinomial,log,cauchy,glm,sqrt,yes,yes,-8.00599797e+28,
NegBinomial,log,normal,glm,identity,no,no,-1.388299267e+31,
NegBinomial,log,normal,glm,identity,no,yes,-3.142916662e+30,
NegBinomial,log,normal,glm,identity,yes,no,-4.26636544e+30,
NegBinomial,log,normal,glm,identity,yes,yes,-7.39602322e+29,
NegBinomial,log,normal,glm,no,no,no,-381118.002197806,
NegBinomial,log,normal,glm,no,no,yes,-347746.221334564,
NegBinomial,log,normal,glm,no,yes,no,-365104.637394631,
NegBinomial,log,normal,glm,no,yes,yes,-348172.505046149,
